rank,group_a,group_b,decision,pipeline_cause,rationale
1,rel_00040,rel_00170,same_whole_group,failure_state_overconstraint,"Both groups concern omitted or inadequate suicide-risk assessment; absence versus underestimation is not a different corrective obligation."
2,rel_00300,rel_00339,contaminated_not_mergeable,generic_object_bridge,"Both groups contain unrelated hazards reduced to generic risk-assessment wording; maternity, alarm, bail, and bed-rail duties must not be merged."
3,rel_00026,rel_00035,same_core_contaminated,object_entity_overconstraint,"The core is inadequate clinical record keeping, but rel_00026 contains review-of-notes and inconsistent-record-system members that require repair first."
4,rel_00012,rel_00267,related_but_distinct,context_similarity_without_shared_obligation,"A broad contaminated road-hazard group is being linked to road geometry and lighting; shared road-safety context is insufficient."
5,rel_00014,rel_00442,same_whole_group,medoid_or_merge_order,"Questioning about mental health is a method of conducting the same mental-health assessment obligation."
6,rel_00049,rel_00640,same_whole_group,object_entity_overconstraint,"Failure to recognise deterioration and failure to recognise acute clinical severity describe the same recognition obligation."
7,rel_00012,rel_01406,related_but_distinct,context_similarity_without_shared_obligation,"Road markings, surface defects, and road studs are distinct corrective objects despite a shared highways context."
8,rel_00006,rel_00380,same_whole_group,object_entity_overconstraint,"Both groups concern inadequate first-aid, CPR, or resuscitation training and competence."
9,rel_00313,rel_00352,same_whole_group,counterparty_overconstraint,"Both groups concern delayed ambulance-to-hospital handover; hospital staff and nursing staff are normalization variants."
10,rel_00043,rel_01316,same_whole_group,failure_state_overconstraint,"Setting, reviewing, reducing, or enforcing an appropriate speed limit belongs to the same speed-limit safety obligation."
11,rel_00339,rel_00570,contaminated_not_mergeable,generic_object_bridge,"Generic risk-assessment members connect unrelated bed-rail, bail, call-bell, discharge, and pressure-sore hazards."
12,rel_00300,rel_00570,contaminated_not_mergeable,generic_object_bridge,"Generic risk-assessment wording obscures materially different assessed hazards."
13,rel_00015,rel_00085,related_but_distinct,action_family_difference,"Arranging a later appointment and making a clinical follow-up call are related follow-up processes but not necessarily the same action or purpose."
14,rel_00080,rel_00653,same_whole_group,object_entity_overconstraint,"Both groups concern inaccurate, inconsistent, incomplete, or unusable electronic records and record systems."
15,rel_00339,rel_01344,contaminated_not_mergeable,generic_object_bridge,"The groups combine unrelated hazards through generic initial or further risk-assessment wording."
16,rel_00032,rel_00793,same_whole_group,medoid_or_merge_order,"Both groups already aggregate unsafe road-layout and road-design defects, including junction, crossing, incline, and carriageway design."
17,rel_00035,rel_00042,same_whole_group,object_entity_overconstraint,"Both groups concern inadequate general record keeping; their object differences are record-system or documentation variants."
