group_id,group_label,group_description,issue_count,report_count,first_date,last_date,median_centroid_similarity,sample_issues
0,Clinical Information Exchange Failures,Inadequate communication of patient details and clinical updates between healthcare professionals and organisations.,301,278,2013-06-28,2026-01-16,0.8672662377357483,Failure to communicate clinical information between staff members. | Failure to communicate patient information between clinical teams. | Failure to communicate essential clinical information to hospital staff.
1,Inadequate clinical documentation and monitoring,"Failure to accurately record, maintain, or review essential patient observations and clinical information.",148,138,2013-08-07,2026-03-06,0.8908042907714844,Failure to maintain complete patient observation records. | Failure to record required patient observations. | Failure to maintain accurate clinical records.
2,Inadequate falls risk assessments,"Failure to properly identify, assess, or review the risk of patients falling.",144,97,2013-08-30,2026-03-11,0.9216795563697815,Failure to perform an adequate falls risk assessment. | Failure to conduct a falls risk assessment. | Failure to complete appropriate falls risk assessments.
3,Inadequate post-discharge follow-up care,"Failure to organise necessary follow-up appointments, investigations, or care plans after a patient leaves the hospital.",104,96,2013-01-30,2026-02-06,0.8680221438407898,Failure to arrange necessary follow-up care. | Failure to conduct required follow-up meetings after patient discharge. | Failure to ensure patient follow-up for required treatment.
4,Inadequate Staffing Levels,Insufficient personnel to maintain safe patient care and meet clinical demands.,87,78,2013-01-07,2026-02-27,0.8932793140411377,Insufficient staffing levels to ensure adequate patient care. | Insufficient staffing levels preventing safe delivery of care. | Inadequate staffing levels within a clinical unit.
5,Inadequate road signage and markings,Insufficient or poorly placed signs and road markings at junctions and bends.,82,70,2013-08-07,2025-12-11,0.8782867193222046,Inadequate road signage at a junction. | Inadequate road signage. | Inadequate road signage for upcoming bends.
6,Inadequate suicide and self-harm assessment,"Failure to properly identify, assess, or manage risks of self-harm and suicide.",79,72,2013-12-03,2025-09-24,0.9047592878341675,Failure to assess the risk of self-harm. | Failure to properly assess and manage suicide and self-harm risks. | Failure to adequately assess suicide risk following known self-harm attempt.
7,Ambulance resource and response delays,Insufficient vehicle and staff availability causing delays in emergency response times.,67,63,2014-01-09,2026-02-05,0.9068297743797302,Insufficient ambulance availability for emergency response. | Ambulance response delays caused by high demand and insufficient resources. | Insufficient ambulance resources to meet target response times.
8,GP notification failures,"Failure to communicate patient admission, discharge, or clinical information to general practitioners.",53,48,2013-01-30,2026-02-04,0.8943191766738892,Failure to notify the general practitioner of patient discharge or assessment. | Failure to communicate patient discharge information to the general practitioner. | Failure to provide a discharge summary to the general practitioner.
9,National Early Warning Score mismanagement,"Failure to correctly apply, monitor, and escalate clinical alerts using the NEWS protocol.",44,34,2013-09-24,2025-06-16,0.926838755607605,Failure to adhere to the National Early Warning Score protocol. | Failure to escalate National Early Warning Score alerts to the nurse in charge. | Repeated failure to correctly utilise the National Early Warning Score tool.
