family,tag,tag_url,row_text,size_gb,modality,is_cloud_tag,updated_relative,family_card_text,family_url,params_total_b_raw,quantisation,updated_date_approx,is_moe,params_active_b,params_total_b,exclusion_reasons,manual_rationale,eligible
llama3.1,llama3.1:70b,https://ollama.com/library/llama3.1%3A70b,llama3.1:70b 43GB · 128K context window · Text · 1 year ago,43.0,Text,False,1 year ago,"llama3.1 Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes. tools 8b 70b 405b 113.9M Pulls 93 Tags Updated 1 year ago",https://ollama.com/library/llama3.1,70.0,,2025-05-02,False,,70.0,,,True
llama3.1,llama3.1:8b,https://ollama.com/library/llama3.1%3A8b,llama3.1:8b latest 4.9GB · 128K context window · Text · 1 year ago,4.9,Text,False,1 year ago,"llama3.1 Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes. tools 8b 70b 405b 113.9M Pulls 93 Tags Updated 1 year ago",https://ollama.com/library/llama3.1,8.0,,2025-05-02,False,,8.0,,,True
deepseek-r1,deepseek-r1:14b,https://ollama.com/library/deepseek-r1%3A14b,deepseek-r1:14b 9.0GB · 128K context window · Text · 11 months ago,9.0,Text,False,11 months ago,"deepseek-r1 DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro. tools thinking 1.5b 7b 8b 14b 32b 70b 671b 84.3M Pulls 35 Tags Updated 10 months ago",https://ollama.com/library/deepseek-r1,14.0,,2025-06-06,False,,14.0,,,True
deepseek-r1,deepseek-r1:32b,https://ollama.com/library/deepseek-r1%3A32b,deepseek-r1:32b 20GB · 128K context window · Text · 11 months ago,20.0,Text,False,11 months ago,"deepseek-r1 DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro. tools thinking 1.5b 7b 8b 14b 32b 70b 671b 84.3M Pulls 35 Tags Updated 10 months ago",https://ollama.com/library/deepseek-r1,32.0,,2025-06-06,False,,32.0,,,True
deepseek-r1,deepseek-r1:70b,https://ollama.com/library/deepseek-r1%3A70b,deepseek-r1:70b 43GB · 128K context window · Text · 11 months ago,43.0,Text,False,11 months ago,"deepseek-r1 DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro. tools thinking 1.5b 7b 8b 14b 32b 70b 671b 84.3M Pulls 35 Tags Updated 10 months ago",https://ollama.com/library/deepseek-r1,70.0,,2025-06-06,False,,70.0,,,True
deepseek-r1,deepseek-r1:7b,https://ollama.com/library/deepseek-r1%3A7b,deepseek-r1:7b 4.7GB · 128K context window · Text · 11 months ago,4.7,Text,False,11 months ago,"deepseek-r1 DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro. tools thinking 1.5b 7b 8b 14b 32b 70b 671b 84.3M Pulls 35 Tags Updated 10 months ago",https://ollama.com/library/deepseek-r1,7.0,,2025-06-06,False,,7.0,,,True
deepseek-r1,deepseek-r1:8b,https://ollama.com/library/deepseek-r1%3A8b,deepseek-r1:8b latest 5.2GB · 128K context window · Text · 11 months ago,5.2,Text,False,11 months ago,"deepseek-r1 DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro. tools thinking 1.5b 7b 8b 14b 32b 70b 671b 84.3M Pulls 35 Tags Updated 10 months ago",https://ollama.com/library/deepseek-r1,8.0,,2025-06-06,False,,8.0,,,True
gemma3,gemma3:12b,https://ollama.com/library/gemma3%3A12b,"gemma3:12b 8.1GB · 128K context window · Text, Image · 1 year ago",8.1,,False,1 year ago,"gemma3 The current, most capable model that runs on a single GPU. vision cloud 270m 1b 4b 12b 27b 36.3M Pulls 29 Tags Updated 4 months ago",https://ollama.com/library/gemma3,12.0,,2025-05-02,False,,12.0,,,True
gemma3,gemma3:27b,https://ollama.com/library/gemma3%3A27b,"gemma3:27b 17GB · 128K context window · Text, Image · 1 year ago",17.0,,False,1 year ago,"gemma3 The current, most capable model that runs on a single GPU. vision cloud 270m 1b 4b 12b 27b 36.3M Pulls 29 Tags Updated 4 months ago",https://ollama.com/library/gemma3,27.0,,2025-05-02,False,,27.0,,,True
qwen2.5,qwen2.5:14b,https://ollama.com/library/qwen2.5%3A14b,qwen2.5:14b 9.0GB · 32K context window · Text · 1 year ago,9.0,Text,False,1 year ago,"qwen2.5 Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support. tools 0.5b 1.5b 3b 7b 14b 32b 72b 29M Pulls 133 Tags Updated 1 year ago",https://ollama.com/library/qwen2.5,14.0,,2025-05-02,False,,14.0,,,True
