group_id,group_label,group_description,issue_count,report_count,first_date,last_date,median_centroid_similarity,sample_issues
0,Ambulance handover and response delays,Delays in hospital handovers and emergency vehicle response times are impacting patient safety and service availability.,111,90,2014-01-21,2026-02-07,0.8898345232009888,Significant delays in handing over patients at hospital emergency departments impacted ambulance availability. | Significant delays occurred in ambulance response times to emergency calls. | Hospital handover delays are impacting ambulance response times for emergency patients.
1,Failure to monitor and escalate,"Staff failed to adequately observe, recognise, or report changes in a patient's clinical condition.",88,79,2013-09-20,2026-02-09,0.8720911741256714,Nursing staff failed to proactively manage the patient's condition. | Healthcare staff failed to perform adequate observations and assess the patient's condition. | Staff failed to adequately recognise and escalate the deterioration of a patient.
2,Ineffective multidisciplinary communication,"Failures in the exchange of information between healthcare professionals, departments, and external organisations.",76,75,2013-09-17,2025-08-12,0.8820710182189941,Communication between those responsible for care and treatment was inadequate. | Communication between nursing and medical staff was inadequate. | Communication between healthcare staff was poor and ineffective.
3,Inadequate clinical record keeping,"Medical and nursing documentation lacked accuracy, detail, and continuity.",88,85,2013-11-18,2026-02-25,0.8822404146194458,Patient care notes were poorly recorded and lacked continuity. | Clinical observations were irregular and documentation was inadequate. | Nursing record keeping was inadequate.
4,Inadequate discharge planning and follow-up,"Failures in arranging post-hospital care, communicating summaries to GPs, and providing essential discharge information.",49,42,2013-10-10,2025-11-11,0.8877866268157959,The patient was discharged from hospital without a planned follow-up. | The patient was discharged from hospital without adequate follow-up care. | The patient was not provided with a discharge summary upon leaving the hospital.
5,Inadequate clinical and emergency training,"Staff lack the necessary skills, knowledge, and training to recognise and respond to clinical emergencies and incidents.",43,38,2013-10-12,2026-02-09,0.8902958631515503,Staff lacked adequate training to recognise an emergency situation. | Staff were not adequately trained to respond to emergencies. | Staff lacked adequate training in assessing neurological deterioration or medical emergencies.
6,Inpatient Bed Shortages,Insufficient availability of hospital and psychiatric beds prevents timely admissions and patient transfers.,39,37,2015-07-14,2026-02-10,0.8835058212280273,A lack of available hospital beds prevents the timely admission of patients. | A lack of inpatient beds prevents timely admission for patients requiring acute mental health treatment. | Insufficient bed availability causes delays in admitting patients to the hospital.
7,Inadequate clinical staffing levels,Insufficient personnel to meet patient demand and maintain safety standards.,32,31,2013-01-07,2025-08-05,0.8980656862258911,Inadequate staffing levels in the Emergency Department prevented the performance of required clinical duties. | Staffing levels were insufficient to maintain safe patient ratios. | Insufficient staffing levels to meet patient demand in the Emergency Department.
8,Inadequate falls risk assessment,Failures in accurately assessing and recording the risk of patients falling.,25,25,2013-11-20,2026-02-25,0.8730546236038208,The assessment of the patient's risk of falling was inadequate. | The assessment and recording of the patient's falls risk were inadequate. | The risk assessment for the patient was inadequate.
9,High collision frequency,A significant number of road traffic accidents occurring at specific locations or junctions.,23,21,2014-02-06,2025-11-28,0.9076837301254272,There is a high frequency of collisions on this section of the road. | There is a high frequency of road traffic collisions at the junction. | There is a high frequency of collisions at this specific location.
10,Falls risk assessment failures,"Failure to conduct, review, or implement appropriate assessments and preventative measures for falls.",21,17,2014-09-12,2025-07-10,0.8927676677703857,The care home failed to undertake a falls risk assessment. | The care home failed to follow established falls risk assessments. | The care home failed to conduct a timely review of the falls risk assessment.
11,Ambulance response time delays,Failure to meet national target timeframes for Category 2 and Category 3 calls.,20,20,2016-03-23,2025-05-02,0.9052923917770386,The ambulance service failed to meet response time targets for a category 2 call. | The ambulance service failed to respond within the expected timeframe for a Category 2 call. | Ambulance response times for Category 2 cases failed to meet the mean target.
12,Social care and community placement shortages,Insufficient social care and community support capacity causes delays in hospital discharges.,18,18,2017-11-28,2026-02-10,0.9341490864753723,Inadequate provision of social care and community placements prevents timely hospital discharge. | Inadequate social care provision and community healthcare support lead to delayed patient discharges. | Lack of social care provision prevents timely hospital discharges.
13,Inadequate clinical record keeping,The maintenance of accurate and detailed care records was insufficient.,17,16,2015-10-15,2025-05-27,0.9297983646392822,The standard of record keeping at the care home was inadequate. | Care home records were inadequate and inaccurate. | The standard of record keeping at the care home was poor.
14,Inadequate first aid training,Prison staff lack essential training in first aid and resuscitation techniques.,16,15,2013-10-30,2026-02-09,0.9466543197631836,Prison officers lacked essential first aid and resuscitation training. | Prison officers lacked basic first aid and cardiopulmonary resuscitation training. | Prison Officers lacked sufficient training in the administration of first aid and CPR.
15,Inadequate inter-agency communication,Information sharing and communication between different agencies and services were insufficient.,12,11,2013-05-29,2026-02-25,0.9413305521011353,Communication between agencies regarding information sharing was inadequate. | Information sharing between agencies was insufficient. | Interagency communication and information sharing between agencies were insufficient.
16,Insufficient ambulance service resources,"A lack of vehicles, staff, and dispatchers prevents meeting service demand and performance standards.",11,11,2015-02-19,2024-10-28,0.9361057281494141,Insufficient ambulance resources were available to meet demand. | The availability of ambulance resources is insufficient to meet demand. | The ambulance service lacks sufficient resources to meet patient demand.
17,Failure to update falls assessments,Risk assessments and care plans were not revised following falls or changes in resident condition.,9,9,2017-11-20,2026-02-25,0.9386641383171082,The falls risk assessment was not updated following a fall. | The falls risk assessment was not updated following significant changes in the resident's condition. | The falls risk assessment was not updated as required.
18,Failure to conduct serious incident investigations,"The Trust failed to identify, escalate, or undertake formal investigations into significant clinical incidents and patient deaths.",9,9,2021-02-01,2025-09-29,0.9278342127799988,The Trust failed to conduct a Serious Incident Investigation into unexpected events impacting patient care. | The trust failed to undertake a serious investigation into the patient's care. | The trust failed to identify this case as an incident requiring investigation.
19,Delays in medical intervention,"Failure to provide or seek necessary medical care, communication, or administration in a timely manner.",9,9,2015-05-11,2025-09-25,0.930443286895752,Medical treatment was not commenced in a timely manner. | The patient did not receive necessary treatment as promptly as required. | Medical assistance was not sought in a timely manner.
20,Inadequate falls management training,"Staff lack sufficient training and knowledge regarding the assessment, prevention, and documentation of falls.",8,8,2014-01-17,2025-12-17,0.9253958463668823,Staff training regarding the management of falls was inadequate. | Staff training regarding fall risks was incomplete. | Training for staff regarding falls risk assessment was ineffective or not properly adopted.
21,Outdated care plans and risk assessments,Care plans and risk assessments were not regularly reviewed or updated to reflect changing resident needs.,8,8,2015-11-03,2025-09-29,0.9365707635879517,Care plans and risk assessments were not regularly updated. | Care plans were not updated to reflect changing needs. | Care plans were not kept up to date.
