group_id,issue_id,report_url,report_date,issue_sentence,canonical_issue,issue_family,similarity_to_group_centroid,rank_in_group
0,iss_0006138,https://www.judiciary.uk/prevention-of-future-death-reports/david-lewsey-prevention-of-future-deaths-report/,2023-11-22,Reception staff failed to pass information regarding severe side pain to the Advanced Nurse Practitioner.,Failure to communicate clinical information between staff members.,Communication failure,0.9371564388275146,1
0,iss_0005631,https://www.judiciary.uk/prevention-of-future-death-reports/paul-bradley-prevention-of-future-deaths-report/,2024-01-26,Clinical teams failed to share information regarding a patient's missed appointments or progress.,Failure to communicate patient information between clinical teams.,Information sharing failure,0.9358887672424316,2
0,iss_0018448,https://www.judiciary.uk/prevention-of-future-death-reports/leslie-morrison/,2016-07-28,Carers and the care co-ordinator failed to provide essential clinical information to the hospital.,Failure to communicate essential clinical information to hospital staff.,Information handover failure,0.9322333335876465,3
0,iss_0022432,https://www.judiciary.uk/prevention-of-future-death-reports/philip-dean/,2014-04-15,Critical clinical information from the GP was not communicated to the psychiatrist making discharge decisions.,Failure to communicate critical clinical information between healthcare professionals during discharge.,Communication failure,0.9319906234741211,4
0,iss_0009305,https://www.judiciary.uk/prevention-of-future-death-reports/hayley-smith-prevention-of-future-deaths-report/,2022-03-28,Inadequate communication existed between the various organisations involved in the patient's care.,Inadequate communication between organisations involved in patient care.,Communication failure,0.930452823638916,5
0,iss_0012573,https://www.judiciary.uk/prevention-of-future-death-reports/ifeoma-onwuka/,2019-12-24,The consultant failed to communicate with the anaesthetist regarding the patient's deteriorating condition.,Failure to communicate patient deterioration between clinical staff.,Communication failure,0.9290012717247009,6
0,iss_0000928,https://www.judiciary.uk/prevention-of-future-death-reports/lynn-silcock-prevention-of-future-deaths-report/,2025-10-23,A failure in communication and document exchange between the gastroenterology and cardiology teams resulted in the patient being lost in the system.,Failure in inter-departmental communication and information exchange regarding patient care.,Communication failure,0.927654504776001,7
0,iss_0020504,https://www.judiciary.uk/prevention-of-future-death-reports/finnulla-martin/,2015-04-29,The crisis team failed to communicate urgent information from a family member to the psychiatry liaison team.,Failure to communicate urgent information between clinical teams.,Communication failure,0.9272840023040771,8
0,iss_0010787,https://www.judiciary.uk/prevention-of-future-death-reports/lola-sheldrake/,2021-05-17,The health visitor failed to relay concerns about static weight to the paediatric registrar.,Failure to communicate clinical concerns between healthcare professionals.,Communication failure,0.9239012002944946,9
0,iss_0023638,https://www.judiciary.uk/prevention-of-future-death-reports/terence-oconnell/,2013-06-28,"A communication breakdown occurred between the care home, district nurses and the out of hours GP.",Failure of communication between healthcare providers and care facilities.,Communication failure,0.9230461120605469,10
0,iss_0018533,https://www.judiciary.uk/prevention-of-future-death-reports/harold-goulding/,2016-07-14,"Communication failed between the anti-coagulation clinic, the General Practitioner, and the care home.",Failure of communication between healthcare providers and care facilities.,Communication failure,0.9230461120605469,11
0,iss_0010851,https://www.judiciary.uk/prevention-of-future-death-reports/alex-shaw/,2021-05-07,Communication of the patient's clinical condition and observations between clinicians was inadequate.,Inadequate communication of patient clinical condition and observations between clinicians.,Clinical communication failure,0.9224717617034912,12
1,iss_0018311,https://www.judiciary.uk/prevention-of-future-death-reports/catherine-dinnen/,2016-09-02,The Trust failed to maintain complete patient observation records.,Failure to maintain complete patient observation records.,Incomplete clinical documentation,0.9523842930793762,1
1,iss_0020861,https://www.judiciary.uk/prevention-of-future-death-reports/peter-wright/,2015-03-02,Staff failed to record necessary patient observations.,Failure to record required patient observations.,Clinical documentation error,0.9428838491439819,2
1,iss_0016117,https://www.judiciary.uk/prevention-of-future-death-reports/ronald-farrington/,2017-12-22,The care home failed to maintain accurate clinical records.,Failure to maintain accurate clinical records.,Inaccurate record keeping,0.9425486922264099,3
1,iss_0023110,https://www.judiciary.uk/prevention-of-future-death-reports/stephanie-daniels/,2013-12-13,Failure to maintain accurate written records of patient observations.,Failure to maintain accurate records of patient observations.,Inadequate clinical documentation,0.9421417713165283,4
1,iss_0021005,https://www.judiciary.uk/prevention-of-future-death-reports/kimberley-lindfield/,2015-02-02,Nursing staff failed to maintain accurate written records of patient observations.,Failure to maintain accurate written records of patient observations.,Inaccurate clinical documentation,0.9358547925949097,5
1,iss_0015550,https://www.judiciary.uk/prevention-of-future-death-reports/michalla-sweeting/,2018-05-21,Clinical staff failed to review patient records containing critical information regarding over-sedation.,Failure to review patient records containing critical clinical information.,Clinical documentation failure,0.9314652681350708,6
1,iss_0014627,https://www.judiciary.uk/prevention-of-future-death-reports/john-duckenfield/,2018-12-18,Clinical observations were not recorded despite a recognised need to do so.,Failure to record required clinical observations.,Documentation failure,0.9298314452171326,7
1,iss_0021058,https://www.judiciary.uk/prevention-of-future-death-reports/philip-smith/,2015-01-21,Doctors failed to maintain accurate records of their clinical reviews and assessments.,Failure to maintain accurate clinical records and assessments.,Inaccurate medical documentation,0.9297429323196411,8
1,iss_0000042,https://www.judiciary.uk/prevention-of-future-death-reports/alan-tomlinson-prevention-of-future-deaths-report/,2026-03-06,No record was made of the patient's clinical condition despite visible signs of illness.,Failure to document a patient's clinical condition.,Clinical documentation error,0.9273378849029541,9
1,iss_0015202,https://www.judiciary.uk/prevention-of-future-death-reports/keith-dransfield/,2018-08-08,Staff did not routinely consult patient records.,Failure to routinely consult patient records.,Clinical documentation oversight,0.9271529316902161,10
1,iss_0006927,https://www.judiciary.uk/prevention-of-future-death-reports/marion-nickson-prevention-of-future-deaths-report/,2023-07-21,Staff failed to maintain required observation levels in clinical bays.,Failure to maintain required levels of clinical observation.,Clinical monitoring failure,0.925995945930481,11
1,iss_0017441,https://www.judiciary.uk/prevention-of-future-death-reports/clive-davies/,2017-03-16,There were generalised failures in the performance of routine NEWS and neurological observations.,Failure to perform routine clinical observations correctly.,Clinical monitoring failure,0.924565315246582,12
2,iss_0000097,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,Nursing staff failed to instigate an adequate falls risk assessment.,Failure to perform an adequate falls risk assessment.,Clinical assessment failure,0.968890905380249,1
2,iss_0011013,https://www.judiciary.uk/prevention-of-future-death-reports/john-brumfitt/,2021-04-06,The care home failed to undertake a falls risk assessment.,Failure to conduct a falls risk assessment.,Assessment failure,0.967089056968689,2
2,iss_0004996,https://www.judiciary.uk/prevention-of-future-death-reports/margaret-burman-prevention-of-future-deaths-report/,2024-04-17,Nursing staff failed to complete appropriate falls risk assessments.,Failure to complete appropriate falls risk assessments.,Clinical assessment failure,0.9668066501617432,3
2,iss_0021626,https://www.judiciary.uk/prevention-of-future-death-reports/ian-page/,2014-09-12,A risk assessment to identify the risk of falls was not conducted.,Failure to conduct a risk assessment for falls.,Risk assessment failure,0.965274453163147,4
2,iss_0002005,https://www.judiciary.uk/prevention-of-future-death-reports/sarah-hill-prevention-of-future-deaths-report/,2025-05-26,Appropriate falls risk assessments were not undertaken.,Failure to conduct appropriate falls risk assessments.,Clinical assessment failure,0.964647650718689,5
2,iss_0004490,https://www.judiciary.uk/prevention-of-future-death-reports/maureen-woollen-prevention-of-future-deaths-report/,2024-06-19,A falls risk assessment was not conducted upon admission to the residential home.,Failure to conduct a falls risk assessment upon admission.,Clinical assessment failure,0.9633505344390869,6
2,iss_0018750,https://www.judiciary.uk/prevention-of-future-death-reports/freda-cordy/,2016-05-17,No specific falls risk assessment was undertaken upon the patient's admission to the care home.,Failure to conduct a falls risk assessment upon patient admission.,Clinical assessment failure,0.9605584740638733,7
2,iss_0000099,https://www.judiciary.uk/prevention-of-future-death-reports/urmila-patel-prevention-of-future-deaths-report/,2026-02-26,Staff failed to note a previous fall and reassess the risk of falls.,Failure to record previous falls and reassess fall risks.,Clinical documentation error,0.9547264575958252,8
2,iss_0006472,https://www.judiciary.uk/prevention-of-future-death-reports/iris-fordham-prevention-of-future-deaths-report/,2023-10-05,The Trust failed to complete a falls risk assessment.,Failure to complete a falls risk assessment.,Clinical assessment failure,0.9544118642807007,9
2,iss_0016862,https://www.judiciary.uk/prevention-of-future-death-reports/kenneth-swift/,2017-07-26,Inadequate monitoring of patients at risk of falls led to unsupervised mobilisation.,Insufficient monitoring of patients at risk of falls.,Patient supervision failure,0.9521490335464478,10
2,iss_0008021,https://www.judiciary.uk/prevention-of-future-death-reports/glenys-phipps-prevention-of-future-deaths-report/,2022-12-22,The assessment of the patient's risk of falling was inadequate.,Inadequate assessment of patient fall risk.,Clinical assessment error,0.9520797729492188,11
2,iss_0009428,https://www.judiciary.uk/prevention-of-future-death-reports/marvin-rue-prevention-of-future-deaths-report/,2022-03-03,Multifactorial Risk Assessments were not undertaken following individual falls.,Failure to conduct multifactorial risk assessments following individual falls.,Risk assessment failure,0.9513238668441772,12
3,iss_0008523,https://www.judiciary.uk/prevention-of-future-death-reports/demet-akcicek-prevention-of-future-deaths-report/,2022-09-07,The duty worker failed to arrange necessary follow-up care.,Failure to arrange necessary follow-up care.,Care continuity failure,0.9251256585121155,1
